Speaker,Modern Thai,Thai Boran
A,"ฉันรู้สึกว่าช่วงนี้ไม่ค่อยมีสมาธิในการทำงานเลย เธอมีวิธีจัดการยังไงบ้างไหม","ข้ารู้สึกว่าช่วงนี้ไม่ค่อยมีสมาธิในการทำงานเลย ท่านมีวิธีจัดการฉันใดบ้างฤๅไม่"
B,"ฉันใช้วิธีจัดตารางเวลาทำงานและพักผ่อนให้เป็นสัดส่วน แล้วก็ทำสมาธิบ้าง มันช่วยได้เยอะเลย","ข้าใช้วิธีจัดตารางเวลาทำงานและพักผ่อนให้เป็นสัดส่วน แล้วก็ทำสมาธิบ้าง มันช่วยได้เยอะเลย"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองเอาไปปรับใช้ดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองเอาไปปรับใช้ดู ขอบใจมากหนอ"
B,"ไม่เป็นไรเลย ลองดูนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","มิเป็นไรเลย จงลองดูหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีความสุขเท่าไหร่ เธอพอจะมีวิธีทำให้ชีวิตดีขึ้นไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีความสุขเท่าไหร่ ท่านพอมีวิธีทำให้ชีวิตดีขึ้นฤๅไม่"
B,"ลองหากิจกรรมที่ชอบทำดูไหม แล้วก็พยายามมองโลกในแง่ดี มันช่วยให้เรามีความสุขมากขึ้นนะ","จงหากิจกรรมที่ชอบทำดูฤๅไม่ แล้วก็พยายามมองโลกในแง่ดี มันช่วยให้เรามีความสุขมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความสุขมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความสุขมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่มีความมั่นใจในตัวเองเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่มีความมั่นใจในตนเองเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองทำอะไรที่ท้าทายความสามารถของตัวเองดูไหม แล้วก็พยายามให้กำลังใจตัวเองบ่อยๆ มันจะช่วยเพิ่มความมั่นใจได้","จงลองทำสิ่งใดที่ท้าทายความสามารถของตนเองดูฤๅไม่ แล้วก็พยายามให้กำลังใจตนเองบ่อยๆ มันจักช่วยเพิ่มความมั่นใจได้"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีความมั่นใจในตัวเองมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีความมั่นใจในตนเองมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่มีแรงบันดาลใจในการทำงานเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่มีแรงบันดาลใจในการทำงานเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองหาอะไรใหม่ๆ ทำดูไหม หรือไม่ก็ลองมองหาแรงบันดาลใจจากคนรอบข้างดู","จงหาอะไรใหม่ๆ ทำดูฤๅไม่ หรือไม่ก็จงมองหาแรงบันดาลใจจากคนรอบข้างดู"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีแรงบันดาลใจในการทำงานมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีแรงบันดาลใจในการทำงานมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่มีเวลาออกกำลังกายเลย เธอมีวิธีจัดการยังไงบ้างไหม","ข้ารู้สึกว่าตนเองไม่มีเวลาออกกำลังกายเลย ท่านมีวิธีจัดการฉันใดบ้างฤๅไม่"
B,"ฉันใช้วิธีออกกำลังกายในเวลาสั้นๆ เช่น เดินเร็ว หรือทำโยคะในตอนเช้า มันก็ช่วยให้ร่างกายแข็งแรงได้","ข้าใช้วิธีออกกำลังกายในเวลาสั้นๆ เช่น เดินเร็ว หรือทำโยคะในตอนเช้า มันก็ช่วยให้ร่างกายแข็งแรงได้"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองเอาไปปรับใช้ดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองเอาไปปรับใช้ดู ขอบใจมากหนอ"
B,"ไม่เป็นไรเลย ลองดูนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","มิเป็นไรเลย จงลองดูหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองนอนไม่ค่อยหลับ เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองนอนไม่ค่อยหลับ ท่านพอมีวิธีช่วยฤๅไม่"
